//TABELA COM CÓDIGO IBGE ATUALIZADO DE ACORDO COM TABELA SPEED FISCAL...
UF|MUNICIPIO               |CEP     |IBGE
BA|Almadina                     |45640000|2900900
BA|Alto Bonito                  |44805000|0000000
BA|Amado Bahia                  |48282000|0000000
BA|Amaniú                       |47380000|0000000
BA|Amargosa                     |45300000|2901007
BA|Amélia Rodrigues             |44230000|2901106
BA|América Dourada              |44910000|2901155
BA|Américo Alves        |47370000|0000000
BA|Anagé                |45180000|2901205
BA|Andaraí              |46830000|2901304
BA|Andorinha            |48990000|2901353
BA|Angical              |47960000|2901403
BA|Angico               |44633000|0000000
BA|Anguera              |44670000|2901502
BA|Antas                |48420000|2901601
BA|Antônio Cardoso      |44180000|2901700
BA|Antônio Gonçalves    |44780000|2901809
BA|Aporá                |48350000|2901908
BA|Apuarema             |45355000|2901957
BA|Araçás               |48108000|2902054
BA|Aracatu              |46130000|2902005
BA|Araci                |48760000|2902104
BA|Aramari              |48130000|2902203
BA|Arapiranga           |46177000|0000000
BA|Arataca              |45695000|2902252
BA|Aratuípe             |44490000|2902302
BA|Areias               |42847000|0000000
BA|Arembepe             |42835000|0000000
BA|Argoim               |44525000|0000000
BA|Argolo               |45925000|0000000
BA|Aribice              |48504000|0000000
BA|Aritaguá             |45663000|0000000
BA|Arraial D'Ajuda      |45816000|0000000
BA|Aurelino Leal        |45675000|2902401
BA|Baianópolis          |47830000|2902500
BA|Baixa do Palmeira    |44535000|0000000
BA|Baixa Grande         |44620000|2902609
BA|Baixão               |45212000|0000000
BA|Baixinha             |45313000|0000000
BA|Baluarte             |47270000|0000000
BA|Banco Central        |45673000|0000000
BA|Banco da Vitória     |45661000|0000000
BA|Bandeira do Almada   |45635000|0000000
BA|Bandeira do Colônia  |45705000|0000000
BA|Bandiaçu             |48745000|0000000
BA|Banzaê               |48405000|2902658
BA|Baraúnas             |46920000|0000000
BA|Barcelos do Sul      |45448000|0000000
BA|Barra                |47100000|2902708
BA|Barra da Estiva      |46650000|2902807
BA|Barra do Choça       |45120000|2902906
BA|Barra do Jacuípe     |42833000|0000000
BA|Barra do Mendes      |44990000|2903003
BA|Barra do Pojuca      |42825000|0000000
BA|Barra do Rocha       |45560000|2903102
BA|Barra do Tarrachil   |48668000|0000000
BA|Barracas             |44757000|0000000
BA|Barreiras            |00000000|2903201
BA|Barro Alto           |44895000|2903235
BA|Barro Preto          |00000000|2903300
BA|Barro Vermelho       |48935000|0000000
BA|Barrocas             |48705000|2903276
BA|Bastião              |46745000|0000000
BA|Bate Pé              |45107000|0000000
BA|Batinga              |45975000|0000000
BA|Bela Flor            |48113000|0000000
BA|Belém da Cachoeira       |44315000|0000000
BA|Belmonte                 |45800000|2903409
BA|Belo Campo               |44911000|2903508
BA|Belo Campo               |45160000|2903508
BA|BemBom                   |47330000|0000000
BA|Bendegó                  |48524000|0000000
BA|Bento Simões             |44258000|0000000
BA|Biritinga                |48780000|2903607
BA|Boa Espera               |44265000|0000000
BA|Boa Nova                 |45250000|2903706
BA|Boa União                |48103000|0000000
BA|Boa Vista do Lagamar     |47525000|0000000
BA|Boa Vista do Tupim       |46850000|2903805
BA|Boaçu                    |45209000|0000000
BA|Boca do Córrego          |45805000|0000000
BA|Bom Jesus da Lapa        |47600000|2903904
BA|Bom Jesus da Serra       |45263000|2903953
BA|Bom Sossego              |47540000|0000000
BA|Bonfim da Feira          |44120000|0000000
BA|Boninal                  |46740000|2904001
BA|Bonito                   |46820000|2904050
BA|Boquira                  |46530000|2904100
BA|Botuporã                 |46570000|2904209
BA|Botuquara                |46475000|0000000
BA|Brejinho das Ametistas   |46405000|0000000
BA|Brejo da Serra           |47260000|0000000
BA|Brejo Luíza de Brito     |46733000|0000000
BA|Brejo Novo               |46855000|0000000
BA|Brejões                  |45325000|2904308
BA|Brejolândia              |47750000|2904407
BA|Brotas de Macaúbas       |47560000|2904506
BA|Brumado                  |46100000|2904605
BA|Bucuituba                |46535000|0000000
BA|Buerarema                |45615000|2904704
BA|Buracica                 |44285000|0000000
BA|Buranhém                 |45845000|0000000
BA|Buril                    |48483000|0000000
BA|Buris de Abrantes        |42845000|0000000
BA|Buritirama               |47120000|2904753
BA|Caatiba                  |45130000|2904803
BA|Cabaceiras do Paraguaçu  |44345000|2904852
BA|Cabrália                 |46768000|0000000
BA|Cacha Pregos             |44478000|0000000
BA|Cachoeira                |44300000|2904902
BA|Cachoeira do Mato        |45999000|0000000
BA|Caculé                   |46300000|2905008
BA|Caém                     |44730000|2905107
BA|Caetanos                 |45265000|2905156
BA|CaetéAçu                 |46940000|0000000
BA|Caetité                  |46400000|2905206
BA|Cafarnaum                |44880000|2905305
BA|Caiçara                  |45118000|0000000
BA|Caimbé                   |48506000|0000000
BA|Cairu                    |45420000|2905404
BA|Caiubi                   |45858000|0000000
BA|Cajuí                    |47390000|0000000
BA|Caldas do Jorro          |48793000|0000000
